Process ID,Process Name,Timestamp,CPU Usage (%),Memory Usage (%),Disk Usage (%),Anomaly
3948,svchost.exe,1715697844026745.0,0.0,0.009521656681041218,0,0
3956,svchost.exe,1715697844026745.0,0.0,0.03849850500298854,0,0
4024,svchost.exe,1715697844026745.0,0.0,0.032804893501602574,0,0
4032,svchost.exe,1715697844026745.0,0.0,0.01749271278298158,0,0
4052,svchost.exe,1715697844026745.0,0.0,0.17131713585659658,0,0
4064,IGCC.exe,1715697844026745.0,0.0,0.010175816300349394,0,0
4072,MemCompression,1715697844026745.0,0.0,1.6462774804581928,0,0
4156,svchost.exe,1715697844026745.0,0.0,0.028007722960009283,0,0
4176,svchost.exe,1715697844026745.0,0.0,0.014270370954537603,0,0
4200,svchost.exe,1715697844026745.0,0.0,0.0670634750461122,0,0
4276,svchost.exe,1715697844026745.0,0.0,0.10703989622605624,0,0
4368,svchost.exe,1715697844026745.0,0.0,0.02425236218249939,0,0
4472,dasHost.exe,1715697844026745.0,0.0,0.0009691253619380375,0,0
4596,svchost.exe,1715697844026745.0,0.0,0.15103818765804314,2.0280838012695312,0
4620,svchost.exe,1715697844026745.0,0.0,0.024034308976063328,0,0
4684,svchost.exe,1715697844026745.0,0.0,0.09054053693906117,0,0
4760,Dell.TechHub.exe,1715697844026745.0,0.0,0.05526437376451659,0,0
4820,svchost.exe,1715697844026745.0,0.0,0.0850892067781597,0,0
4828,RuntimeBroker.exe,1715697844026745.0,0.0,0.14444813519686447,24.86872100830078,0
4868,chrome.exe,1715697844026745.0,0.0,0.01594211220388072,3.287109375,0
4920,WmiPrvSE.exe,1715697844026745.0,0.0,0.36540871771873706,0,0
5404,MpDefenderCoreService.exe,1715697844026745.0,0.0,0.08683363242964816,0,0
5632,DellSupportAssistRemedationService.exe,1715697844026745.0,0.0,0.19338896597473537,0,0
5724,msedge.exe,1715697844026745.0,0.0,0.039491858498975026,45.00344944000244,0
5736,WmiPrvSE.exe,1715697844026745.0,0.0,0.2263150001465802,0,0
5788,svchost.exe,1715697844026745.0,0.0,0.04230232204859533,0,0
5836,svchost.exe,1715697844026745.0,0.0,0.07878989192556245,0,0
5964,svchost.exe,1715697844026745.0,0.0,0.04877123383953173,0,0
5992,conhost.exe,1715697844026745.0,0.0,0.04419211650437451,0.00390625,0
6000,svchost.exe,1715697844026745.0,0.0,0.06766917839732348,0,0
6052,svchost.exe,1715697844026745.0,0.0,0.09083127454764257,0,0
6056,svchost.exe,1715697844026745.0,0.0,0.01473070550145817,0,0
6324,spoolsv.exe,1715697844026745.0,0.0,0.037747432847486564,0,0
6616,svchost.exe,1715697844026745.0,0.0,0.020593913941183296,0,0
6660,svchost.exe,1715697844026745.0,0.0,0.015651374595299306,0,0
6680,svchost.exe,1715697844026745.0,0.0,0.028346916836687594,0,0
6740,msedge.exe,1715697844026745.0,0.0,0.2384775234389026,47.82339572906494,0
6784,NgcIso.exe,1715697844026745.0,0.0,0.00029073760858141124,0,0
6788,svchost.exe,1715697844026745.0,0.0,0.007801459163601202,0,0
6832,svchost.exe,1715697844026745.0,0.0,0.07079460768957364,0,0
6876,svchost.exe,1715697844026745.0,0.0,0.1601479660602607,0,0
6892,svchost.exe,1715697844026745.0,0.0,0.20930685004456767,0,0
6908,svchost.exe,1715697844026745.0,0.0,0.022338339592671765,0,0
6972,esif_uf.exe,1715697844026745.0,0.0,0.01240480463280688,0,0
7008,svchost.exe,1715697844026745.0,0.0,0.01601479660602607,0,0
7020,OneApp.IGCC.WinService.exe,1715697844026745.0,0.0,0.06648199982894937,0,0
7072,Dell.DCF.UA.Bradbury.API.SubAgent.exe,1715697844026745.0,0.0,0.07631862225262045,0,0
7076,IntelAudioService.exe,1715697844026745.0,0.0,0.027087053866168147,0,0
7088,svchost.exe,1715697844026745.0,0.0,0.037384010836759796,0,0
7156,pingfederate-windows-x86-64.exe,1715697844026745.0,0.0,0.015360636986717894,0,0
7164,jhi_service.exe,1715697844026745.0,0.0,0.007389580884777536,0,0
7184,RstMwService.exe,1715697844026745.0,0.0,0.016402446750801287,0,0
7260,GoodixSessionService.exe,1715697844026745.0,0.0,0.005451330160901461,0,0
7268,SmartByteNetworkService.exe,1715697844026745.0,0.0,0.24448610068291843,0,0
